Date,Series,Value
2017-01-01,Average Tone,0.3046
2017-01-02,Average Tone,0.1969
2017-01-03,Average Tone,-0.0502
2017-01-04,Average Tone,-0.3695
2017-01-05,Average Tone,-0.6586
2017-01-06,Average Tone,-0.3863
2017-01-07,Average Tone,-0.0123
2017-01-08,Average Tone,0.4072
2017-01-09,Average Tone,0.6624
2017-01-10,Average Tone,0.3783
2017-01-11,Average Tone,-0.4269
2017-01-12,Average Tone,0.5857
2017-01-13,Average Tone,0.5726
2017-01-14,Average Tone,-0.1638
2017-01-15,Average Tone,-1.2595
2017-01-16,Average Tone,-1.6258
2017-01-17,Average Tone,-1.0965
2017-01-18,Average Tone,-1.4046
2017-01-19,Average Tone,-0.51
2017-01-20,Average Tone,-0.8438
2017-01-21,Average Tone,-0.5142
2017-01-22,Average Tone,0.4484
2017-01-23,Average Tone,0.0967
2017-01-24,Average Tone,-0.3835
2017-01-25,Average Tone,-0.3107
2017-01-26,Average Tone,0.1461
2017-01-27,Average Tone,0.1882
2017-01-28,Average Tone,0.5261
2017-01-29,Average Tone,0.5376
2017-01-30,Average Tone,0.4629
2017-01-31,Average Tone,0.3331
2017-02-01,Average Tone,0.9527
2017-02-02,Average Tone,0.0645
2017-02-03,Average Tone,0.531
2017-02-04,Average Tone,-1.0258
2017-02-05,Average Tone,0.4571
2017-02-06,Average Tone,1.4434
2017-02-07,Average Tone,-0.1108
2017-02-08,Average Tone,0.5663
2017-02-09,Average Tone,0.231
2017-02-10,Average Tone,-1.2303
2017-02-11,Average Tone,-1.7549
2017-02-12,Average Tone,-0.8429
2017-02-13,Average Tone,1.0061
2017-02-14,Average Tone,0.3657
2017-02-15,Average Tone,-1.5723
2017-02-16,Average Tone,0.0425
2017-02-17,Average Tone,-0.298
2017-02-18,Average Tone,-0.2168
2017-02-19,Average Tone,0.3915
2017-02-20,Average Tone,0.1566
2017-02-21,Average Tone,-0.9681
2017-02-22,Average Tone,-1.798
2017-02-23,Average Tone,-1.1453
2017-02-24,Average Tone,0.7447
2017-02-25,Average Tone,0.055
2017-02-26,Average Tone,-1.2506
2017-02-27,Average Tone,-0.2428
2017-02-28,Average Tone,0.134
2017-03-01,Average Tone,1.3333
2017-03-02,Average Tone,-0.0951
2017-03-03,Average Tone,0.2276
2017-03-04,Average Tone,-0.3323
2017-03-05,Average Tone,0.3642
2017-03-06,Average Tone,-0.4106
2017-03-07,Average Tone,0.6688
2017-03-08,Average Tone,-1.759
2017-03-09,Average Tone,1.3424
2017-03-10,Average Tone,-0.5614
2017-03-11,Average Tone,-3.0835
