,Date,Series,Value
0,2020-05-01,Average Tone,0.4852
1,2020-05-02,Average Tone,0.8262
2,2020-05-03,Average Tone,0.7438
3,2020-05-04,Average Tone,-0.7068
4,2020-05-05,Average Tone,1.1457
5,2020-05-06,Average Tone,0.7595
6,2020-05-07,Average Tone,0.5387
7,2020-05-08,Average Tone,0.6226
8,2020-05-09,Average Tone,1.238
9,2020-05-10,Average Tone,-1.0679
10,2020-05-11,Average Tone,-0.504
11,2020-05-12,Average Tone,0.2032
12,2020-05-13,Average Tone,1.0953
13,2020-05-14,Average Tone,0.2903
14,2020-05-15,Average Tone,-0.3546
15,2020-05-16,Average Tone,-0.0374
16,2020-05-17,Average Tone,-1.0781
17,2020-05-18,Average Tone,0.797
18,2020-05-19,Average Tone,0.0632
19,2020-05-20,Average Tone,-0.0455
20,2020-05-21,Average Tone,-0.3013
21,2020-05-22,Average Tone,-0.4272
22,2020-05-23,Average Tone,-0.3728
23,2020-05-24,Average Tone,-0.9223
24,2020-05-25,Average Tone,0.2003
25,2020-05-26,Average Tone,0.995
26,2020-05-27,Average Tone,0.4573
27,2020-05-28,Average Tone,0.4712
28,2020-05-29,Average Tone,0.7427
29,2020-05-30,Average Tone,-0.436
30,2020-05-31,Average Tone,-0.8716
31,2020-06-01,Average Tone,-0.035
32,2020-06-02,Average Tone,-0.8599
33,2020-06-03,Average Tone,-0.4204
34,2020-06-04,Average Tone,-0.9137
35,2020-06-05,Average Tone,-0.3488
36,2020-06-06,Average Tone,-0.2396
37,2020-06-07,Average Tone,-0.4961
38,2020-06-08,Average Tone,-0.5175
39,2020-06-09,Average Tone,0.1652
40,2020-06-10,Average Tone,0.451
41,2020-06-11,Average Tone,0.7544
42,2020-06-12,Average Tone,-0.5256
43,2020-06-13,Average Tone,0.4492
44,2020-06-14,Average Tone,0.2979
45,2020-06-15,Average Tone,-0.3846
46,2020-06-16,Average Tone,0.3799
47,2020-06-17,Average Tone,-0.1459
48,2020-06-18,Average Tone,0.4504
49,2020-06-19,Average Tone,-0.1574
50,2020-06-20,Average Tone,-0.3069
51,2020-06-21,Average Tone,-0.6366
52,2020-06-22,Average Tone,-0.1203
53,2020-06-23,Average Tone,0.6547
54,2020-06-24,Average Tone,-0.0217
55,2020-06-25,Average Tone,1.3017
56,2020-06-26,Average Tone,-0.5124
57,2020-06-27,Average Tone,-0.8244
58,2020-06-28,Average Tone,0.2399
59,2020-06-29,Average Tone,-0.7081
60,2020-06-30,Average Tone,0.0619
61,2020-07-01,Average Tone,0.3073
62,2020-07-02,Average Tone,0.4096
63,2020-07-03,Average Tone,-1.2207
64,2020-07-04,Average Tone,0.1088
65,2020-07-05,Average Tone,-0.091
66,2020-07-06,Average Tone,-0.0905
67,2020-07-07,Average Tone,1.0197
68,2020-07-08,Average Tone,0.2818
69,2020-07-09,Average Tone,-0.834
70,2020-07-10,Average Tone,0.817
71,2020-07-11,Average Tone,0.8128
72,2020-07-12,Average Tone,-0.9072
73,2020-07-13,Average Tone,-0.7299
74,2020-07-14,Average Tone,0.3027
75,2020-07-15,Average Tone,-1.9204
76,2020-07-16,Average Tone,-3.3072
77,2020-07-17,Average Tone,-1.323
78,2020-07-18,Average Tone,-3.9835
79,2020-07-19,Average Tone,-2.4894
80,2020-07-20,Average Tone,-0.3984
81,2020-07-21,Average Tone,-0.5839
82,2020-07-22,Average Tone,-0.4153
83,2020-07-23,Average Tone,-1.6334
84,2020-07-24,Average Tone,-0.6094
85,2020-07-25,Average Tone,-0.1156
86,2020-07-26,Average Tone,0.5617
87,2020-07-27,Average Tone,0.565
88,2020-07-28,Average Tone,1.5408
89,2020-07-29,Average Tone,0.7509
90,2020-07-30,Average Tone,0.6693
91,2020-07-31,Average Tone,-0.8462
