Date,Series,Value
2020-05-01,Volume Intensity,0.0212
2020-05-02,Volume Intensity,0.0283
2020-05-03,Volume Intensity,0.013
2020-05-04,Volume Intensity,0.0173
2020-05-05,Volume Intensity,0.0192
2020-05-06,Volume Intensity,0.0165
2020-05-07,Volume Intensity,0.0197
2020-05-08,Volume Intensity,0.0478
2020-05-09,Volume Intensity,0.0354
2020-05-10,Volume Intensity,0.0174
2020-05-11,Volume Intensity,0.0358
2020-05-12,Volume Intensity,0.031
2020-05-13,Volume Intensity,0.0235
2020-05-14,Volume Intensity,0.0168
2020-05-15,Volume Intensity,0.0197
2020-05-16,Volume Intensity,0.0167
2020-05-17,Volume Intensity,0.0188
2020-05-18,Volume Intensity,0.0294
2020-05-19,Volume Intensity,0.0207
2020-05-20,Volume Intensity,0.0211
2020-05-21,Volume Intensity,0.0199
2020-05-22,Volume Intensity,0.02
2020-05-23,Volume Intensity,0.017
2020-05-24,Volume Intensity,0.0135
2020-05-25,Volume Intensity,0.0254
2020-05-26,Volume Intensity,0.0269
2020-05-27,Volume Intensity,0.0197
2020-05-28,Volume Intensity,0.019
2020-05-29,Volume Intensity,0.0183
2020-05-30,Volume Intensity,0.0117
2020-05-31,Volume Intensity,0.0114
2020-06-01,Volume Intensity,0.0233
2020-06-02,Volume Intensity,0.0288
2020-06-03,Volume Intensity,0.0226
2020-06-04,Volume Intensity,0.0265
2020-06-05,Volume Intensity,0.0194
2020-06-06,Volume Intensity,0.0178
2020-06-07,Volume Intensity,0.0159
2020-06-08,Volume Intensity,0.0167
2020-06-09,Volume Intensity,0.0225
2020-06-10,Volume Intensity,0.0304
2020-06-11,Volume Intensity,0.0301
2020-06-12,Volume Intensity,0.0296
2020-06-13,Volume Intensity,0.0218
2020-06-14,Volume Intensity,0.0398
2020-06-15,Volume Intensity,0.0227
2020-06-16,Volume Intensity,0.0187
2020-06-17,Volume Intensity,0.018
2020-06-18,Volume Intensity,0.0187
2020-06-19,Volume Intensity,0.016
2020-06-20,Volume Intensity,0.0104
2020-06-21,Volume Intensity,0.0148
2020-06-22,Volume Intensity,0.0247
2020-06-23,Volume Intensity,0.0211
2020-06-24,Volume Intensity,0.0219
2020-06-25,Volume Intensity,0.0249
2020-06-26,Volume Intensity,0.0208
2020-06-27,Volume Intensity,0.017
2020-06-28,Volume Intensity,0.0227
2020-06-29,Volume Intensity,0.0191
2020-06-30,Volume Intensity,0.0341
2020-07-01,Volume Intensity,0.019
2020-07-02,Volume Intensity,0.0212
2020-07-03,Volume Intensity,0.0159
2020-07-04,Volume Intensity,0.0171
2020-07-05,Volume Intensity,0.0171
2020-07-06,Volume Intensity,0.021
2020-07-07,Volume Intensity,0.0314
2020-07-08,Volume Intensity,0.0197
2020-07-09,Volume Intensity,0.0181
2020-07-10,Volume Intensity,0.0238
2020-07-11,Volume Intensity,0.0214
2020-07-12,Volume Intensity,0.0166
2020-07-13,Volume Intensity,0.02
2020-07-14,Volume Intensity,0.021
2020-07-15,Volume Intensity,0.049
2020-07-16,Volume Intensity,0.1233
2020-07-17,Volume Intensity,0.0328
2020-07-18,Volume Intensity,0.1047
2020-07-19,Volume Intensity,0.0192
2020-07-20,Volume Intensity,0.0291
2020-07-21,Volume Intensity,0.0181
2020-07-22,Volume Intensity,0.0197
2020-07-23,Volume Intensity,0.0244
2020-07-24,Volume Intensity,0.0178
2020-07-25,Volume Intensity,0.0179
2020-07-26,Volume Intensity,0.0291
2020-07-27,Volume Intensity,0.0225
2020-07-28,Volume Intensity,0.0324
2020-07-29,Volume Intensity,0.021
2020-07-30,Volume Intensity,0.0217
2020-07-31,Volume Intensity,0.025
