Date,Series,Value
2019-11-01,Volume Intensity,0.0446
2019-11-02,Volume Intensity,0.0602
2019-11-03,Volume Intensity,0.071
2019-11-04,Volume Intensity,0.0648
2019-11-05,Volume Intensity,0.0616
2019-11-06,Volume Intensity,0.0551
2019-11-07,Volume Intensity,0.0456
2019-11-08,Volume Intensity,0.0484
2019-11-09,Volume Intensity,0.0417
2019-11-10,Volume Intensity,0.0569
2019-11-11,Volume Intensity,0.0385
2019-11-12,Volume Intensity,0.0406
2019-11-13,Volume Intensity,0.0289
2019-11-14,Volume Intensity,0.0257
2019-11-15,Volume Intensity,0.0314
2019-11-16,Volume Intensity,0.0283
2019-11-17,Volume Intensity,0.02
2019-11-18,Volume Intensity,0.0284
2019-11-19,Volume Intensity,0.0209
2019-11-20,Volume Intensity,0.0369
2019-11-21,Volume Intensity,0.0543
2019-11-22,Volume Intensity,0.0666
2019-11-23,Volume Intensity,0.0211
2019-11-24,Volume Intensity,0.0222
2019-11-25,Volume Intensity,0.0235
2019-11-26,Volume Intensity,0.0307
2019-11-27,Volume Intensity,0.0276
2019-11-28,Volume Intensity,0.0264
2019-11-29,Volume Intensity,0.0208
2019-11-30,Volume Intensity,0.022
2019-12-01,Volume Intensity,0.0149
2019-12-02,Volume Intensity,0.026
2019-12-03,Volume Intensity,0.0234
2019-12-04,Volume Intensity,0.0184
2019-12-05,Volume Intensity,0.019
2019-12-06,Volume Intensity,0.0222
2019-12-07,Volume Intensity,0.017
2019-12-08,Volume Intensity,0.0137
2019-12-09,Volume Intensity,0.0221
2019-12-10,Volume Intensity,0.0303
2019-12-11,Volume Intensity,0.0327
2019-12-12,Volume Intensity,0.024
2019-12-13,Volume Intensity,0.0213
2019-12-14,Volume Intensity,0.0224
2019-12-15,Volume Intensity,0.0208
2019-12-16,Volume Intensity,0.0262
2019-12-17,Volume Intensity,0.0231
2019-12-18,Volume Intensity,0.0282
2019-12-19,Volume Intensity,0.0266
2019-12-20,Volume Intensity,0.021
2019-12-21,Volume Intensity,0.0164
2019-12-22,Volume Intensity,0.0155
2019-12-23,Volume Intensity,0.0354
2019-12-24,Volume Intensity,0.0319
2019-12-25,Volume Intensity,0.0262
2019-12-26,Volume Intensity,0.0319
2019-12-27,Volume Intensity,0.0248
2019-12-28,Volume Intensity,0.0355
2019-12-29,Volume Intensity,0.0184
2019-12-30,Volume Intensity,0.0305
2019-12-31,Volume Intensity,0.0205
2020-01-01,Volume Intensity,0.0183
2020-01-02,Volume Intensity,0.0188
2020-01-03,Volume Intensity,0.0216
2020-01-04,Volume Intensity,0.0203
2020-01-05,Volume Intensity,0.0166
2020-01-06,Volume Intensity,0.0573
2020-01-07,Volume Intensity,0.0297
2020-01-08,Volume Intensity,0.0345
2020-01-09,Volume Intensity,0.0228
2020-01-10,Volume Intensity,0.0178
2020-01-11,Volume Intensity,0.0151
2020-01-12,Volume Intensity,0.016
2020-01-13,Volume Intensity,0.0313
2020-01-14,Volume Intensity,0.0283
2020-01-15,Volume Intensity,0.0329
2020-01-16,Volume Intensity,0.0349
2020-01-17,Volume Intensity,0.0252
2020-01-18,Volume Intensity,0.014
2020-01-19,Volume Intensity,0.0129
2020-01-20,Volume Intensity,0.023
2020-01-21,Volume Intensity,0.019
2020-01-22,Volume Intensity,0.0171
2020-01-23,Volume Intensity,0.0207
2020-01-24,Volume Intensity,0.0201
2020-01-25,Volume Intensity,0.0144
2020-01-26,Volume Intensity,0.0172
2020-01-27,Volume Intensity,0.0221
2020-01-28,Volume Intensity,0.0321
2020-01-29,Volume Intensity,0.0289
2020-01-30,Volume Intensity,0.0189
2020-01-31,Volume Intensity,0.018
