,Date,Series,Value
0,2020-05-01,Average Tone,0.5634
1,2020-05-02,Average Tone,0.4334
2,2020-05-03,Average Tone,2.1245
3,2020-05-04,Average Tone,0.7955
4,2020-05-05,Average Tone,1.5685
5,2020-05-06,Average Tone,1.1983
6,2020-05-07,Average Tone,1.0714
7,2020-05-08,Average Tone,0.1709
8,2020-05-09,Average Tone,2.0847
9,2020-05-10,Average Tone,-0.9271
10,2020-05-11,Average Tone,-0.1535
11,2020-05-12,Average Tone,1.6552
12,2020-05-13,Average Tone,0.5811
13,2020-05-14,Average Tone,-0.0797
14,2020-05-15,Average Tone,0.8517
15,2020-05-16,Average Tone,-0.0013
16,2020-05-17,Average Tone,-1.0818
17,2020-05-18,Average Tone,1.6324
18,2020-05-19,Average Tone,-0.2248
19,2020-05-20,Average Tone,0.9455
20,2020-05-21,Average Tone,1.4481
21,2020-05-22,Average Tone,-0.2952
22,2020-05-23,Average Tone,-0.3832
23,2020-05-24,Average Tone,-1.1291
24,2020-05-25,Average Tone,-0.8764
25,2020-05-26,Average Tone,2.318
26,2020-05-27,Average Tone,1.239
27,2020-05-28,Average Tone,0.576
28,2020-05-29,Average Tone,1.632
29,2020-05-30,Average Tone,0.7796
30,2020-05-31,Average Tone,-0.331
31,2020-06-01,Average Tone,0.5316
32,2020-06-02,Average Tone,0.0833
33,2020-06-03,Average Tone,0.1255
34,2020-06-04,Average Tone,0.1221
35,2020-06-05,Average Tone,0.678
36,2020-06-06,Average Tone,0.392
37,2020-06-07,Average Tone,-0.5908
38,2020-06-08,Average Tone,1.3606
39,2020-06-09,Average Tone,0.9347
40,2020-06-10,Average Tone,0.7943
41,2020-06-11,Average Tone,2.8159
42,2020-06-12,Average Tone,0.5894
43,2020-06-13,Average Tone,-1.5228
44,2020-06-14,Average Tone,0.8127
45,2020-06-15,Average Tone,-0.0707
46,2020-06-16,Average Tone,0.5749
47,2020-06-17,Average Tone,-0.0494
48,2020-06-18,Average Tone,0.3066
49,2020-06-19,Average Tone,0.0226
50,2020-06-20,Average Tone,0.0054
51,2020-06-21,Average Tone,0.1715
52,2020-06-22,Average Tone,0.2786
53,2020-06-23,Average Tone,0.754
54,2020-06-24,Average Tone,0.8914
55,2020-06-25,Average Tone,0.6504
56,2020-06-26,Average Tone,0.9494
57,2020-06-27,Average Tone,0.2678
58,2020-06-28,Average Tone,1.1343
59,2020-06-29,Average Tone,0.1859
60,2020-06-30,Average Tone,0.6747
61,2020-07-01,Average Tone,0.4482
62,2020-07-02,Average Tone,1.1059
63,2020-07-03,Average Tone,-0.0696
64,2020-07-04,Average Tone,0.3054
65,2020-07-05,Average Tone,0.768
66,2020-07-06,Average Tone,-0.1216
67,2020-07-07,Average Tone,0.9006
68,2020-07-08,Average Tone,0.4359
69,2020-07-09,Average Tone,-0.0959
70,2020-07-10,Average Tone,1.9433
71,2020-07-11,Average Tone,1.5804
72,2020-07-12,Average Tone,-0.6189
73,2020-07-13,Average Tone,0.2786
74,2020-07-14,Average Tone,1.0163
75,2020-07-15,Average Tone,0.6548
76,2020-07-16,Average Tone,-0.1879
77,2020-07-17,Average Tone,0.9121
78,2020-07-18,Average Tone,0.4209
79,2020-07-19,Average Tone,0.3289
80,2020-07-20,Average Tone,2.0086
81,2020-07-21,Average Tone,0.6199
82,2020-07-22,Average Tone,0.811
83,2020-07-23,Average Tone,1.8209
84,2020-07-24,Average Tone,1.2783
85,2020-07-25,Average Tone,-0.1924
86,2020-07-26,Average Tone,1.2782
87,2020-07-27,Average Tone,0.6171
88,2020-07-28,Average Tone,0.5445
89,2020-07-29,Average Tone,0.5963
90,2020-07-30,Average Tone,0.5727
91,2020-07-31,Average Tone,0.4374
