Date,Series,Value
2017-01-01,Average Tone,2.649
2017-01-02,Average Tone,0.4565
2017-01-03,Average Tone,0.9239
2017-01-04,Average Tone,-0.3049
2017-01-05,Average Tone,0.8861
2017-01-06,Average Tone,1.2279
2017-01-07,Average Tone,1.082
2017-01-08,Average Tone,1.19
2017-01-09,Average Tone,0.2428
2017-01-10,Average Tone,2.7837
2017-01-11,Average Tone,0
2017-01-12,Average Tone,0.2586
2017-01-13,Average Tone,2.0395
2017-01-14,Average Tone,0
2017-01-15,Average Tone,1.1893
2017-01-16,Average Tone,1.6166
2017-01-17,Average Tone,1.8338
2017-01-18,Average Tone,0.0639
2017-01-19,Average Tone,2.8362
2017-01-20,Average Tone,1.632
2017-01-21,Average Tone,0.7221
2017-01-22,Average Tone,0
2017-01-23,Average Tone,1.1035
2017-01-24,Average Tone,1.2074
2017-01-25,Average Tone,-0.6423
2017-01-26,Average Tone,0.4066
2017-01-27,Average Tone,3.1087
2017-01-28,Average Tone,0
2017-01-29,Average Tone,0
2017-01-30,Average Tone,0
2017-01-31,Average Tone,0
2017-02-01,Average Tone,1.3534
2017-02-02,Average Tone,1.0224
2017-02-03,Average Tone,-1.8686
2017-02-04,Average Tone,1.3373
2017-02-05,Average Tone,-0.2784
2017-02-06,Average Tone,-0.239
2017-02-07,Average Tone,0.6453
2017-02-08,Average Tone,1.6256
2017-02-09,Average Tone,1.7057
2017-02-10,Average Tone,1.8557
2017-02-11,Average Tone,0.4684
2017-02-12,Average Tone,-0.1081
2017-02-13,Average Tone,0.6299
2017-02-14,Average Tone,0.0677
2017-02-15,Average Tone,2.2781
2017-02-16,Average Tone,0.9122
2017-02-17,Average Tone,-1.2209
2017-02-18,Average Tone,0.3953
2017-02-19,Average Tone,0
2017-02-20,Average Tone,1.7939
2017-02-21,Average Tone,1.6057
2017-02-22,Average Tone,0.4286
2017-02-23,Average Tone,-1.2066
2017-02-24,Average Tone,0.8394
2017-02-25,Average Tone,0
2017-02-26,Average Tone,0
2017-02-27,Average Tone,0.5985
2017-02-28,Average Tone,0.6403
2017-03-01,Average Tone,2.4831
2017-03-02,Average Tone,1.5991
2017-03-03,Average Tone,1.1316
2017-03-04,Average Tone,0.6804
2017-03-05,Average Tone,-2.9443
2017-03-06,Average Tone,2.5535
2017-03-07,Average Tone,1.34
2017-03-08,Average Tone,-0.5601
2017-03-09,Average Tone,0.9885
2017-03-10,Average Tone,0.6938
2017-03-11,Average Tone,-0.7739
2017-03-12,Average Tone,4.6809
2017-03-13,Average Tone,-0.684
2017-03-14,Average Tone,1.2282
2017-03-15,Average Tone,1.9827
2017-03-16,Average Tone,1.7332
2017-03-17,Average Tone,1.12
2017-03-18,Average Tone,0.4964
2017-03-19,Average Tone,1.0255
2017-03-20,Average Tone,-1.8547
2017-03-21,Average Tone,-1.6884
2017-03-22,Average Tone,-5.0561
2017-03-23,Average Tone,-5.3996
2017-03-24,Average Tone,-4.9279
2017-03-25,Average Tone,-6.0781
2017-03-26,Average Tone,0.1778
2017-03-27,Average Tone,-0.9077
2017-03-28,Average Tone,-0.762
2017-03-29,Average Tone,0.6936
2017-03-30,Average Tone,2.0003
2017-03-31,Average Tone,2.4004
2017-04-01,Average Tone,0
2017-04-02,Average Tone,0
2017-04-03,Average Tone,1.1381
2017-04-04,Average Tone,0.8242
2017-04-05,Average Tone,0.3415
2017-04-06,Average Tone,0.8243
2017-04-07,Average Tone,2.1889
2017-04-08,Average Tone,-4.1096
2017-04-09,Average Tone,0.8764
2017-04-10,Average Tone,0.5754
2017-04-11,Average Tone,-1.2006
2017-04-12,Average Tone,2.4876
2017-04-13,Average Tone,0.44
2017-04-14,Average Tone,1.533
2017-04-15,Average Tone,-0.7896
2017-04-16,Average Tone,-0.0787
2017-04-17,Average Tone,1.4452
2017-04-18,Average Tone,0.2973
2017-04-19,Average Tone,3.2223
2017-04-20,Average Tone,1.7316
2017-04-21,Average Tone,1.5072
2017-04-22,Average Tone,2.2272
2017-04-23,Average Tone,0
2017-04-24,Average Tone,3.7037
2017-04-25,Average Tone,1.7044
2017-04-26,Average Tone,1.9511
2017-04-27,Average Tone,0.9436
2017-04-28,Average Tone,0.6475
2017-04-29,Average Tone,-1.8657
2017-04-30,Average Tone,-0.0598
2017-05-01,Average Tone,-0.5288
2017-05-02,Average Tone,-0.216
2017-05-03,Average Tone,0.0121
2017-05-04,Average Tone,1.6135
2017-05-05,Average Tone,-0.5675
2017-05-06,Average Tone,-1.8361
2017-05-07,Average Tone,0.5952
2017-05-08,Average Tone,-0.4023
2017-05-09,Average Tone,2.4946
2017-05-10,Average Tone,2.4009
2017-05-11,Average Tone,0.476
2017-05-12,Average Tone,0.2323
2017-05-13,Average Tone,-0.4749
2017-05-14,Average Tone,1.5637
2017-05-15,Average Tone,1.2456
2017-05-16,Average Tone,-0.0438
2017-05-17,Average Tone,-0.0202
2017-05-18,Average Tone,1.8493
2017-05-19,Average Tone,-0.2778
2017-05-20,Average Tone,0.0445
2017-05-21,Average Tone,1.4533
2017-05-22,Average Tone,-0.1774
2017-05-23,Average Tone,-0.3092
2017-05-24,Average Tone,1.4691
2017-05-25,Average Tone,0.1535
2017-05-26,Average Tone,0.3437
2017-05-27,Average Tone,-0.0843
2017-05-28,Average Tone,-0.5639
2017-05-29,Average Tone,-0.8173
2017-05-30,Average Tone,0.1356
2017-05-31,Average Tone,0.2363
2017-06-01,Average Tone,0.2861
2017-06-02,Average Tone,1.2715
2017-06-03,Average Tone,1.5237
2017-06-04,Average Tone,0.3844
2017-06-05,Average Tone,1.5944
2017-06-06,Average Tone,1.209
2017-06-07,Average Tone,0.6288
2017-06-08,Average Tone,0.7281
2017-06-09,Average Tone,0.5206
2017-06-10,Average Tone,0.3263
2017-06-11,Average Tone,-0.4256
2017-06-12,Average Tone,-0.9821
2017-06-13,Average Tone,-0.0371
2017-06-14,Average Tone,0.7064
2017-06-15,Average Tone,1.2903
2017-06-16,Average Tone,-0.6986
2017-06-17,Average Tone,-0.1249
2017-06-18,Average Tone,-1.2113
2017-06-19,Average Tone,-1.8731
2017-06-20,Average Tone,0.0217
2017-06-21,Average Tone,-0.0836
2017-06-22,Average Tone,-1.0981
2017-06-23,Average Tone,0.9297
2017-06-24,Average Tone,-0.056
2017-06-25,Average Tone,-2.0759
2017-06-26,Average Tone,-0.7368
2017-06-27,Average Tone,-0.7964
2017-06-28,Average Tone,0.3295
2017-06-29,Average Tone,0.7911
2017-06-30,Average Tone,0.7147
2017-07-01,Average Tone,0.1458
2017-07-02,Average Tone,1.4916
2017-07-03,Average Tone,0.7758
2017-07-04,Average Tone,0.7236
2017-07-05,Average Tone,-1.0865
2017-07-06,Average Tone,0.1911
2017-07-07,Average Tone,-1.0991
2017-07-08,Average Tone,0.6568
2017-07-09,Average Tone,-4.7964
2017-07-10,Average Tone,0.0632
2017-07-11,Average Tone,-0.5762
2017-07-12,Average Tone,0.003
2017-07-13,Average Tone,-0.225
2017-07-14,Average Tone,-0.6351
2017-07-15,Average Tone,-0.3253
2017-07-16,Average Tone,-0.6562
2017-07-17,Average Tone,-0.8736
2017-07-18,Average Tone,-0.2978
2017-07-19,Average Tone,-0.4325
2017-07-20,Average Tone,-0.6112
2017-07-21,Average Tone,-0.1533
2017-07-22,Average Tone,-0.1382
2017-07-23,Average Tone,-0.1485
2017-07-24,Average Tone,-0.4927
2017-07-25,Average Tone,0.1067
2017-07-26,Average Tone,-0.866
2017-07-27,Average Tone,-0.2746
2017-07-28,Average Tone,0.3029
2017-07-29,Average Tone,0.1996
2017-07-30,Average Tone,-0.1673
2017-07-31,Average Tone,-0.6126
2017-08-01,Average Tone,0.0676
2017-08-02,Average Tone,-0.0684
2017-08-03,Average Tone,-0.2046
2017-08-04,Average Tone,0.3399
2017-08-05,Average Tone,-1.5959
2017-08-06,Average Tone,-0.0506
2017-08-07,Average Tone,0.0213
2017-08-08,Average Tone,0.5978
2017-08-09,Average Tone,0.9465
2017-08-10,Average Tone,-0.3745
2017-08-11,Average Tone,-0.4754
2017-08-12,Average Tone,-0.2089
2017-08-13,Average Tone,0.4885
2017-08-14,Average Tone,0.5115
2017-08-15,Average Tone,0.6149
2017-08-16,Average Tone,0.4733
2017-08-17,Average Tone,0.4536
2017-08-18,Average Tone,0.8905
2017-08-19,Average Tone,-0.2397
2017-08-20,Average Tone,-0.6444
2017-08-21,Average Tone,0.563
