Date,Series,Value
2020-05-01,Volume Intensity,0.0055
2020-05-02,Volume Intensity,0.0034
2020-05-03,Volume Intensity,0.0045
2020-05-04,Volume Intensity,0.0051
2020-05-05,Volume Intensity,0.0023
2020-05-06,Volume Intensity,0.0024
2020-05-07,Volume Intensity,0.0068
2020-05-08,Volume Intensity,0.0092
2020-05-09,Volume Intensity,0.0138
2020-05-10,Volume Intensity,0.0026
2020-05-11,Volume Intensity,0.0045
2020-05-12,Volume Intensity,0.0063
2020-05-13,Volume Intensity,0.0078
2020-05-14,Volume Intensity,0.0034
2020-05-15,Volume Intensity,0.0065
2020-05-16,Volume Intensity,0.004
2020-05-17,Volume Intensity,0.0045
2020-05-18,Volume Intensity,0.0094
2020-05-19,Volume Intensity,0.0045
2020-05-20,Volume Intensity,0.0042
2020-05-21,Volume Intensity,0.0067
2020-05-22,Volume Intensity,0.0081
2020-05-23,Volume Intensity,0.0042
2020-05-24,Volume Intensity,0.0052
2020-05-25,Volume Intensity,0.0078
2020-05-26,Volume Intensity,0.0089
2020-05-27,Volume Intensity,0.0055
2020-05-28,Volume Intensity,0.006
2020-05-29,Volume Intensity,0.0105
2020-05-30,Volume Intensity,0.0037
2020-05-31,Volume Intensity,0.0074
2020-06-01,Volume Intensity,0.0074
2020-06-02,Volume Intensity,0.0064
2020-06-03,Volume Intensity,0.0062
2020-06-04,Volume Intensity,0.005
2020-06-05,Volume Intensity,0.0045
2020-06-06,Volume Intensity,0.0051
2020-06-07,Volume Intensity,0.0057
2020-06-08,Volume Intensity,0.005
2020-06-09,Volume Intensity,0.0056
2020-06-10,Volume Intensity,0.0107
2020-06-11,Volume Intensity,0.0105
2020-06-12,Volume Intensity,0.0069
2020-06-13,Volume Intensity,0.0048
2020-06-14,Volume Intensity,0.015
2020-06-15,Volume Intensity,0.0069
2020-06-16,Volume Intensity,0.0041
2020-06-17,Volume Intensity,0.0067
2020-06-18,Volume Intensity,0.0057
2020-06-19,Volume Intensity,0.0063
2020-06-20,Volume Intensity,0.0044
2020-06-21,Volume Intensity,0.0064
2020-06-22,Volume Intensity,0.0077
2020-06-23,Volume Intensity,0.0068
2020-06-24,Volume Intensity,0.0081
2020-06-25,Volume Intensity,0.0164
2020-06-26,Volume Intensity,0.0087
2020-06-27,Volume Intensity,0.0071
2020-06-28,Volume Intensity,0.0139
2020-06-29,Volume Intensity,0.0085
2020-06-30,Volume Intensity,0.0066
2020-07-01,Volume Intensity,0.0074
2020-07-02,Volume Intensity,0.013
2020-07-03,Volume Intensity,0.0033
2020-07-04,Volume Intensity,0.0044
2020-07-05,Volume Intensity,0.0086
2020-07-06,Volume Intensity,0.0066
2020-07-07,Volume Intensity,0.0061
2020-07-08,Volume Intensity,0.005
2020-07-09,Volume Intensity,0.0055
2020-07-10,Volume Intensity,0.0135
2020-07-11,Volume Intensity,0.0114
2020-07-12,Volume Intensity,0.0058
2020-07-13,Volume Intensity,0.0063
2020-07-14,Volume Intensity,0.0058
2020-07-15,Volume Intensity,0.0077
2020-07-16,Volume Intensity,0.0065
2020-07-17,Volume Intensity,0.0072
2020-07-18,Volume Intensity,0.005
2020-07-19,Volume Intensity,0.0047
2020-07-20,Volume Intensity,0.0094
2020-07-21,Volume Intensity,0.0028
2020-07-22,Volume Intensity,0.0066
2020-07-23,Volume Intensity,0.0113
2020-07-24,Volume Intensity,0.0039
2020-07-25,Volume Intensity,0.0128
2020-07-26,Volume Intensity,0.013
2020-07-27,Volume Intensity,0.0081
2020-07-28,Volume Intensity,0.0077
2020-07-29,Volume Intensity,0.0055
2020-07-30,Volume Intensity,0.0046
2020-07-31,Volume Intensity,0.0119
