Date,Series,Value
2019-11-01,Volume Intensity,0.0122
2019-11-02,Volume Intensity,0.0054
2019-11-03,Volume Intensity,0.0066
2019-11-04,Volume Intensity,0.006
2019-11-05,Volume Intensity,0.0109
2019-11-06,Volume Intensity,0.0104
2019-11-07,Volume Intensity,0.0064
2019-11-08,Volume Intensity,0.0078
2019-11-09,Volume Intensity,0.0038
2019-11-10,Volume Intensity,0.0064
2019-11-11,Volume Intensity,0.0103
2019-11-12,Volume Intensity,0.0068
2019-11-13,Volume Intensity,0.0068
2019-11-14,Volume Intensity,0.0083
2019-11-15,Volume Intensity,0.01
2019-11-16,Volume Intensity,0.009
2019-11-17,Volume Intensity,0.0055
2019-11-18,Volume Intensity,0.0091
2019-11-19,Volume Intensity,0.006
2019-11-20,Volume Intensity,0.0076
2019-11-21,Volume Intensity,0.0098
2019-11-22,Volume Intensity,0.008
2019-11-23,Volume Intensity,0.0025
2019-11-24,Volume Intensity,0.0047
2019-11-25,Volume Intensity,0.0077
2019-11-26,Volume Intensity,0.0065
2019-11-27,Volume Intensity,0.0057
2019-11-28,Volume Intensity,0.0065
2019-11-29,Volume Intensity,0.0069
2019-11-30,Volume Intensity,0.0069
2019-12-01,Volume Intensity,0.0081
2019-12-02,Volume Intensity,0.012
2019-12-03,Volume Intensity,0.0089
2019-12-04,Volume Intensity,0.0086
2019-12-05,Volume Intensity,0.0079
2019-12-06,Volume Intensity,0.0066
2019-12-07,Volume Intensity,0.0055
2019-12-08,Volume Intensity,0.0039
2019-12-09,Volume Intensity,0.0065
2019-12-10,Volume Intensity,0.0082
2019-12-11,Volume Intensity,0.0106
2019-12-12,Volume Intensity,0.0071
2019-12-13,Volume Intensity,0.0078
2019-12-14,Volume Intensity,0.0066
2019-12-15,Volume Intensity,0.0078
2019-12-16,Volume Intensity,0.0085
2019-12-17,Volume Intensity,0.0129
2019-12-18,Volume Intensity,0.0095
2019-12-19,Volume Intensity,0.0091
2019-12-20,Volume Intensity,0.0084
2019-12-21,Volume Intensity,0.0075
2019-12-22,Volume Intensity,0.0061
2019-12-23,Volume Intensity,0.0115
2019-12-24,Volume Intensity,0.0039
2019-12-25,Volume Intensity,0.0087
2019-12-26,Volume Intensity,0.008
2019-12-27,Volume Intensity,0.0076
2019-12-28,Volume Intensity,0.0106
2019-12-29,Volume Intensity,0.0084
2019-12-30,Volume Intensity,0.0154
2019-12-31,Volume Intensity,0.0064
2020-01-01,Volume Intensity,0.0061
2020-01-02,Volume Intensity,0.0072
2020-01-03,Volume Intensity,0.0089
2020-01-04,Volume Intensity,0.0048
2020-01-05,Volume Intensity,0.007
2020-01-06,Volume Intensity,0.0424
2020-01-07,Volume Intensity,0.0128
2020-01-08,Volume Intensity,0.0089
2020-01-09,Volume Intensity,0.0087
2020-01-10,Volume Intensity,0.0064
2020-01-11,Volume Intensity,0.0032
2020-01-12,Volume Intensity,0.0068
2020-01-13,Volume Intensity,0.0085
2020-01-14,Volume Intensity,0.0068
2020-01-15,Volume Intensity,0.0103
2020-01-16,Volume Intensity,0.0084
2020-01-17,Volume Intensity,0.0093
2020-01-18,Volume Intensity,0.0034
2020-01-19,Volume Intensity,0.0052
2020-01-20,Volume Intensity,0.0074
2020-01-21,Volume Intensity,0.0052
2020-01-22,Volume Intensity,0.0068
2020-01-23,Volume Intensity,0.0089
2020-01-24,Volume Intensity,0.0059
2020-01-25,Volume Intensity,0.0055
2020-01-26,Volume Intensity,0.008
2020-01-27,Volume Intensity,0.0044
2020-01-28,Volume Intensity,0.0086
2020-01-29,Volume Intensity,0.0092
2020-01-30,Volume Intensity,0.0089
2020-01-31,Volume Intensity,0.0072
